Vivado Simulator 2017.3
result is 0000000000000000000000000000000000000000000000000000000000000100
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000010
SrcB is 0000000000000000000000000000000000000000000000000000000000000100
result is 0000000000000000000000000000000000000000000000000000000000000101
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000010
SrcB is 0000000000000000000000000000000000000000000000000000000000000101
result is 0000000000000000000000000000000000000000000000000000000000000101
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000010
SrcB is 0000000000000000000000000000000000000000000000000000000000000110
result is 0000000000000000000000000000000000000000000000000000000000000111
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000100
SrcB is 0000000000000000000000000000000000000000000000000000000000000110
result is 0000000000000000000000000000000000000000000000000000000000001000
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000100
SrcB is 0000000000000000000000000000000000000000000000000000000000000111
result is 0000000000000000000000000000000000000000000000000000000000001000
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000001
SrcB is 0000000000000000000000000000000000000000000000000000000000000111
result is 0000000000000000000000000000000000000000000000000000000000001011
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000001
SrcB is 0000000000000000000000000000000000000000000000000000000000000010
result is 0000000000000000000000000000000000000000000000000000000000001011
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000011
SrcB is 0000000000000000000000000000000000000000000000000000000000000010
result is 0000000000000000000000000000000000000000000000000000000000000011
ALUCC is 0110
SrcA is 0000000000000000000000000000000000000000000000000000000000000011
SrcB is 0000000000000000000000000000000000000000000000000000000000000010
result is 0000000000000000000000000000000000000000000000000000000000000011
ALUCC is 0110
SrcA is 0000000000000000000000000000000000000000000000000000000000000011
SrcB is 0000000000000000000000000000000000000000000000000000000000000101
result is 0000000000000000000000000000000000000000000000000000000000000011
ALUCC is 0110
SrcA is 0000000000000000000000000000000000000000000000000000000000000010
SrcB is 0000000000000000000000000000000000000000000000000000000000000101
result is 1111111111111111111111111111111111111111111111111111111111111110
ALUCC is 0000
SrcA is 0000000000000000000000000000000000000000000000000000000000000010
SrcB is 0000000000000000000000000000000000000000000000000000000000000101
result is 1111111111111111111111111111111111111111111111111111111111111110
ALUCC is 0000
SrcA is 0000000000000000000000000000000000000000000000000000000000000010
SrcB is 0000000000000000000000000000000000000000000000000000000000000100
result is 1111111111111111111111111111111111111111111111111111111111111110
ALUCC is 0000
SrcA is 0000000000000000000000000000000000000000000000000000000000000100
SrcB is 0000000000000000000000000000000000000000000000000000000000000100
result is 0000000000000000000000000000000000000000000000000000000000000000
ALUCC is 0001
SrcA is 0000000000000000000000000000000000000000000000000000000000000100
SrcB is 0000000000000000000000000000000000000000000000000000000000000100
result is 0000000000000000000000000000000000000000000000000000000000000000
ALUCC is 0001
SrcA is 0000000000000000000000000000000000000000000000000000000000000100
SrcB is 0000000000000000000000000000000000000000000000000000000000000101
result is 0000000000000000000000000000000000000000000000000000000000000000
ALUCC is 0001
SrcA is 0000000000000000000000000000000000000000000000000000000000000000
SrcB is 0000000000000000000000000000000000000000000000000000000000000101
result is 0000000000000000000000000000000000000000000000000000000000000101
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000000
SrcB is 0000000000000000000000000000000000000000000000000000000000000101
result is 0000000000000000000000000000000000000000000000000000000000000101
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000000
SrcB is 0000000000000000000000000000000000000000000000000000000000000001
result is 0000000000000000000000000000000000000000000000000000000000000101
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000000
SrcB is 0000000000000000000000000000000000000000000000000000000000001011
result is 0000000000000000000000000000000000000000000000000000000000000001
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000000
SrcB is 0000000000000000000000000000000000000000000000000000000000110000
result is 0000000000000000000000000000000000000000000000000000000000001011
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000000
SrcB is 0000000000000000000000000000000000000000000000000000000101100000
result is 0000000000000000000000000000000000000000000000000000000000110000
ALUCC is 0010
SrcA is xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
SrcB is 0000000000000000000000000000000000000000000000000000000101100000
result is 0000000000000000000000000000000000000000000000000000000101100000
ALUCC is xxxx
SrcA is xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
SrcB is 0000000000000000000000000000000000000000000000000000000101100000
result is 0000000000000000000000000000000000000000000000000000000101100000
ALUCC is xxxx
SrcA is xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
SrcB is xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
result is 0000000000000000000000000000000000000000000000000000000101100000
